IC,Method,MSE,RMSE,R2
"[np.float64(12.31730155481143), np.float64(8.197206162687522), np.float64(-17.676797348001294)]",PINN,0.0018229357665404677,0.042695851865731264,0.9576371312141418
"[np.float64(12.31730155481143), np.float64(8.197206162687522), np.float64(-17.676797348001294)]",Hybrid,0.00012160783080616966,0.011027594062449419,0.9969108700752258
"[np.float64(12.31730155481143), np.float64(8.197206162687522), np.float64(-17.676797348001294)]",RC(ESN),9.85006720860695e-09,9.924750479788875e-05,0.9999997822905963
"[np.float64(-12.416093223966577), np.float64(-20.399395558109813), np.float64(-11.764007772983028)]",RNN,0.002648621564731002,0.05146476041653164,0.9439160227775574
"[np.float64(-12.416093223966577), np.float64(-20.399395558109813), np.float64(-11.764007772983028)]",Transfer,3.2663305319147184e-05,0.005715182002276671,0.9992778301239014
"[np.float64(-12.416093223966577), np.float64(-20.399395558109813), np.float64(-11.764007772983028)]",MAML,0.0001710342476144433,0.01307800625532972,0.996234118938446
"[np.float64(-12.416093223966577), np.float64(-20.399395558109813), np.float64(-11.764007772983028)]",PINN,0.0020446949638426304,0.04521830341623434,0.9569301605224609
"[np.float64(-12.416093223966577), np.float64(-20.399395558109813), np.float64(-11.764007772983028)]",Hybrid,0.00011330885899951681,0.010644663404707395,0.9974467158317566
"[np.float64(-12.416093223966577), np.float64(-20.399395558109813), np.float64(-11.764007772983028)]",RC(ESN),1.805829078620038e-08,0.00013438113999442175,0.999999629365815
"[np.float64(13.11038278666959), np.float64(27.478799936345148), np.float64(-29.053066778809928)]",RNN,0.002609034301713109,0.051078706930707526,0.9435889720916748
"[np.float64(13.11038278666959), np.float64(27.478799936345148), np.float64(-29.053066778809928)]",Transfer,4.9058300646720454e-05,0.007004163093954941,0.9988051056861877
"[np.float64(13.11038278666959), np.float64(27.478799936345148), np.float64(-29.053066778809928)]",MAML,0.0001807092921808362,0.013442815634413656,0.9958973526954651
"[np.float64(13.11038278666959), np.float64(27.478799936345148), np.float64(-29.053066778809928)]",PINN,0.0020027512218803167,0.044752108574684125,0.9570073485374451
"[np.float64(13.11038278666959), np.float64(27.478799936345148), np.float64(-29.053066778809928)]",Hybrid,0.00013049200060777366,0.011423309529544127,0.9969072341918945
"[np.float64(13.11038278666959), np.float64(27.478799936345148), np.float64(-29.053066778809928)]",RC(ESN),1.3592015869321683e-07,0.0003686735123292923,0.9999971149746529
"[np.float64(-11.244332535024245), np.float64(-27.065238781437667), np.float64(22.486253547199873)]",RNN,0.002066746586933732,0.04546148465386642,0.9506528973579407
"[np.float64(-11.244332535024245), np.float64(-27.065238781437667), np.float64(22.486253547199873)]",Transfer,4.475302921491675e-05,0.006689770490451578,0.998892605304718
"[np.float64(-11.244332535024245), np.float64(-27.065238781437667), np.float64(22.486253547199873)]",MAML,0.00018002097203861922,0.013417189423967272,0.9957244396209717
