IC,Method,MSE,RMSE,R2
"[0.0, 0.0, 30.0]",RNN,6.054964615032077e-05,0.0077813653140256026,-12817.2490234375
"[0.0, 0.0, 30.0]",Transfer,0.0002764133096206933,0.01662568223023324,-117218.3046875
"[0.0, 0.0, 30.0]",MAML,0.0008468804880976677,0.029101211110496204,-188653.953125
"[0.0, 0.0, 30.0]",PINN,0.00038532106555067003,0.019629596673153272,-91329.21875
"[0.0, 0.0, 30.0]",Hybrid,0.0004187851445749402,0.020464240630302905,-223222.546875
"[0.0, 0.0, 30.0]",RC(ESN),9.079085410113676e-08,0.0003013152072185152,0.3333333012135932
"[-20.0, 10.0, -5.0]",RNN,0.0023944582790136337,0.04893320221499543,0.9451961517333984
"[-20.0, 10.0, -5.0]",Transfer,4.141252065892331e-05,0.006435256067859562,0.998982846736908
"[-20.0, 10.0, -5.0]",MAML,0.00016551977023482323,0.012865448699319555,0.9960538744926453
"[-20.0, 10.0, -5.0]",PINN,0.0018342132680118084,0.04282771611949216,0.9581461548805237
"[-20.0, 10.0, -5.0]",Hybrid,0.0001109509976231493,0.01053332794624516,0.9972763061523438
"[-20.0, 10.0, -5.0]",RC(ESN),1.3945687742816047e-09,3.734392553390182e-05,0.9999999682185142
