IC,Method,MSE,RMSE,R2
"[1.0862255633067737, -0.9746752766781589, -0.28213581791058395]",PINN,5.102041541249491e-05,0.007142857650303197,0.9967610239982605
"[1.0862255633067737, -0.9746752766781589, -0.28213581791058395]",Hybrid,0.00015462316514458507,0.012434756336357584,0.9924766421318054
"[1.0862255633067737, -0.9746752766781589, -0.28213581791058395]",RC(ESN),4.248009823298168e-06,0.0020610700675372895,0.9997487394751218
"[-0.11721414993772097, 0.37854726636081715, 0.7321946471782738]",RNN,3.627034311648458e-05,0.006022486456313919,0.9982696175575256
"[-0.11721414993772097, 0.37854726636081715, 0.7321946471782738]",Transfer,7.197992090368643e-05,0.008484098119640439,0.9953190684318542
"[-0.11721414993772097, 0.37854726636081715, 0.7321946471782738]",MAML,0.001998856198042631,0.04470856962644445,0.8523767590522766
"[-0.11721414993772097, 0.37854726636081715, 0.7321946471782738]",PINN,7.033583824522793e-05,0.008386646424240618,0.9967955946922302
"[-0.11721414993772097, 0.37854726636081715, 0.7321946471782738]",Hybrid,7.349647057708353e-05,0.008573008257145418,0.9953916072845459
"[-0.11721414993772097, 0.37854726636081715, 0.7321946471782738]",RC(ESN),6.884029824275565e-07,0.0008297005378011734,0.9999602868854827
"[-0.1035710346168526, -1.198706280157455, 1.0100355762792643]",RNN,6.631543510593474e-05,0.008143428952593295,0.9976370334625244
"[-0.1035710346168526, -1.198706280157455, 1.0100355762792643]",Transfer,0.00018748710863292217,0.013692593203368096,0.9944446086883545
"[-0.1035710346168526, -1.198706280157455, 1.0100355762792643]",MAML,0.003595022251829505,0.05995850441621693,0.8975704312324524
"[-0.1035710346168526, -1.198706280157455, 1.0100355762792643]",PINN,6.933554686838761e-05,0.008326796915284268,0.99772709608078
"[-0.1035710346168526, -1.198706280157455, 1.0100355762792643]",Hybrid,0.00017701795150060207,0.013304809337251025,0.9946759343147278
"[-0.1035710346168526, -1.198706280157455, 1.0100355762792643]",RC(ESN),8.011355958023465e-06,0.002830433881584847,0.99975726498386
"[2.875360329874223, 0.820312643614911, 0.5606115059345012]",RNN,3.5013159504160285e-05,0.005917191859671299,0.9980481266975403
"[2.875360329874223, 0.820312643614911, 0.5606115059345012]",Transfer,0.00038062792737036943,0.01950968803877626,0.9818699955940247
"[2.875360329874223, 0.820312643614911, 0.5606115059345012]",MAML,0.008570302277803421,0.09257592709664549,0.5505558252334595
"[2.875360329874223, 0.820312643614911, 0.5606115059345012]",PINN,0.00012050906661897898,0.01097766216546032,0.9943568706512451
"[2.875360329874223, 0.820312643614911, 0.5606115059345012]",Hybrid,0.00037562462966889143,0.019381037889362154,0.9815904498100281
"[2.875360329874223, 0.820312643614911, 0.5606115059345012]",RC(ESN),1.1718768041856046e-05,0.003423268619588017,0.9993133806673985
